"","Country","Depression %","Anxiety %","Eating Disorder %","Bipolar Disorder %","Schizophrenia %","Total Population","Measured Population","Area","55-59","60-64","65-69","70-74","75+","55-59 %","60-64 %","65-69 %","70-74 %","75+ %","Exposed to any noise %","Exposed to any noise % of total population","% measured popultaion"
"1","Austria",3.41,6.58,0.61,0.99,0.3,8797566,2639822,805,398300,602600,633100,357700,130700,15.0881385184304,22.8272966889434,23.9826776199304,13.5501560332477,4.95109139934435,80.3993602598963,24.124854533629,30.0062767360881
"2","Belgium",3.89,5.6,0.48,0.99,0.3,11375158,1766735,522.18,337800,274500,284400,241300,33500,19.1200151692246,15.5371348844054,16.097490568761,13.6579622863644,1.89615307332452,66.3087559820799,10.2987580480201,15.5315205292094
"3","Bulgaria",2.87,3.63,0.16,0.5,0.31,7075947,2684996,1266,683200,890400,399700,64300,5000,25.4451030839525,33.1620605766266,14.8864281362058,2.3947894149563,0.186220016715109,76.0746012284562,28.8668075100054,37.9453944468493
"4","Croatia",3.24,3.85,0.18,0.59,0.32,4124531,1209118,940,145700,95600,58600,18400,1300,12.0501059449946,7.90658976212413,4.84650795042337,1.52177041446741,0.107516387978675,26.4324904599882,7.74875979838677,29.3152845741734
"5","Czech Republic",3.11,3.4,0.2,0.59,0.32,10594438,2780456,1968,830400,495300,287500,145500,9000,29.8656047784968,17.8136248154979,10.340030556139,5.23295459449817,0.323687913061742,63.5759026576936,16.685170086417,26.2444879095994
"6","Denmark",3.87,5.46,0.52,1.05,0.27,5764980,1753248,630.27,495900,303300,205200,54400,4600,28.2846465531402,17.2993210315939,11.7039916771615,3.10281260837029,0.262370183796017,60.6531420540619,18.4458575745276,30.4120395907705
"7","Estonia",3.97,3.64,0.19,0.57,0.31,1317384,532958,198,83500,114000,80300,19800,900,15.6672758453762,21.3900532499747,15.0668532980085,3.71511451183771,0.168868841447168,56.0081657466442,22.6585414731012,40.4557820650623
"8","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341
"9","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809
"10","Germany",3.8,6.81,0.46,0.82,0.29,82657002,24417288,12289,2372900,1642300,1183500,466900,51500,9.71811447692307,6.72597218822991,4.84697563464051,1.91216977086071,0.210916134502734,23.4141482051569,6.91665540930217,29.5404955529357
"11","Hungary",3.06,3.67,0.19,0.58,0.31,9787966,3189345,3046,508200,439900,371100,224800,63100,15.9343062603763,13.7928007161345,11.6356179717152,7.04846919978867,1.9784626623962,50.3896568104109,16.4191416275864,32.5843489852744
"12","Iceland",3.19,5.6,0.49,1,0.31,343400,267850,1196,33300,16100,5300,1400,100,12.4323315288408,6.01082695538548,1.9787194325182,0.522680604816128,0.0373343289154377,20.981892850476,16.3657542224811,77.9994175888177
"13","Ireland",4.68,7.9,0.49,0.77,0.4,4807388,1499800,1122,320700,147200,158600,55400,4500,21.3828510468062,9.8146419522603,10.5747432991065,3.69382584344579,0.300040005334045,45.7661021469529,14.2780237417908,31.1978146968791
"14","Italy",3.78,5.98,0.59,0.96,0.31,60536709,13694275,8809.99,2461500,2901300,2139800,900700,126100,17.9746645952414,21.1862256307837,15.6255077395481,6.57720105664593,0.920822752573612,62.2844217747928,14.0896327879337,22.6214394971487
"15","Latvia",4.02,4.06,0.18,0.56,0.31,1942248,641007,304,133900,188900,143900,54400,5000,20.8890074523367,29.4692569659926,22.449052818456,8.4866467916887,0.780022683059623,82.0739867115336,27.0871690947809,33.0033548753815
"16","Lithuania",4.31,4.59,0.18,0.56,0.31,2828403,1126250,737,264500,265700,172200,40500,5700,23.4850166481687,23.5915649278579,15.2896781354051,3.59600443951165,0.506104328523862,66.4683684794673,26.4672325690504,39.8192902496568
"17","Luxembourg",3.54,5.81,0.62,0.99,0.31,596336,153410,135.65,40600,39400,41400,20700,2600,26.4650283553875,25.6828107685288,26.9865067466267,13.4932533733133,1.69480477152728,94.3224040153836,24.2648439805747,25.7254299589493
"18","Malta",3.33,6.85,0.45,1,0.31,467999,277600,54.125,23200,14600,21600,6700,1100,8.35734870317003,5.25936599423631,7.78097982708934,2.4135446685879,0.396253602305476,24.207492795389,14.3590050406091,59.3163660606112
"19","Montenegro",3.04,3.92,0.16,0.58,0.31,622373,185937,1441,34400,61300,31300,5500,0,18.5008900864271,32.9681558807553,16.8336587123596,2.95799114753922,0,71.2606958270812,21.2894839589764,29.8754926707939
"20","Netherlands",3.88,7.42,0.42,0.87,0.4,17131296,8259054,5005.72,1500900,1175000,570200,49796,581,18.1727834689058,14.2268109640644,6.90393839294428,0.602926194694937,0.00703470397457142,39.913493724584,19.2424262589357,48.2103280452337
"21","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153
"22","Poland",2.3,3.34,0.2,0.6,0.32,37974826,10009194,5375.21,1944600,1447200,746200,239300,29200,19.4281377701341,14.4587066650921,7.45514573900756,2.39080189673614,0.291731781799813,44.0245238527698,11.6037398038374,26.3574453244368
"23","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633
"24","Romania",2.83,3.5,0.17,0.68,0.31,19588715,5915100,120840,1076600,828600,583400,230800,33300,18.2008757248398,14.0082162600801,9.86289327314838,3.90187824381667,0.562965968453619,46.5368294703386,14.0524786847938,30.1964677111286
"25","Slovakia",2.9,3.68,0.19,0.58,0.32,5439232,493734,444.42,112600,97100,57200,18700,9000,22.8058023146067,19.6664600776937,11.5851855452531,3.7874645051789,1.82284387949787,59.6677563222302,5.41620581729185,9.07727414458512
"26","Slovenia",3.39,3.65,0.2,0.59,0.32,2066388,380900,422.47,73600,69500,48500,11000,200,19.322656865319,18.2462588605933,12.7330007876083,2.8878970858493,0.0525072197427146,53.2423208191126,9.81422656345275,18.4331306608439
"27","Spain",5.11,5.89,0.65,1.02,0.29,46593236,8281377,2624.08,1709000,1601200,893200,280800,37000,20.6366646513013,19.3349487651631,10.785645913717,3.39074045294641,0.446785600993651,54.5947853841215,9.70355439574963,17.7737751462465
"28","Sweden",4.49,5.24,0.55,1.06,0.3,10057698,3367282,14938.34,620500,394100,187700,40200,3100,18.4273250651416,11.7038014636137,5.57422871027731,1.19384120486493,0.0920623814696839,36.9912588253672,12.3845436599906,33.4796491205045
"29","Switzerland",4.11,7.53,0.54,1.04,0.31,8451840,4240021,5873.6,1087300,778400,516300,171100,23400,25.6437409154341,18.3583996400018,12.176826482699,4.03535737205075,0.551884059064802,60.7662084692505,30.4844862183856,50.1668394101166
"30","United Kingdom",4.5,4.89,0.46,1.2,0.3,66058859,35713025,7830.97,4600900,1993900,1592500,1213100,158600,12.8829747690093,5.58311708403307,4.45915740825651,3.39679990703672,0.444095676577383,26.766144844913,14.4704285612926,54.062430899692
