Country,Agglomeration 0me (in English),Nr Inhabitants,Area (km2),55-59,60-64,65-69,70-74,>75,Percentages
Netherlands,Eindhoven,447329,275.98,79300,51900,29000,2600,0,36.39379517
Netherlands,Enschede,311903,273.96,42200,33300,11300,100,0,27.86122609
Netherlands,Gouda,204158,180.01,43500,17700,3000,100,0,31.49521449
Netherlands,Groningen,200336,83.75,37000,30900,3700,200,0,35.83978915
Netherlands,Heerlen,228028,174.31,33300,31100,16100,500,0,35.52195344
Netherlands,Hilversum,217072,160.52,51100,34600,17700,1200,0,48.18677674
Netherlands,Maastricht,122397,60.03,21700,18200,11300,500,0,42.23959738
Netherlands,Nijmegen,170681,57.6,25200,24700,11600,500,0,36.32507426
Netherlands,Rotterdam,1310726,656.19,282600,218000,101500,8300,0,46.56961104
Netherlands,s Hertogenbosch,150899,91.79,24300,24600,11600,1300,0,40.95454576
Netherlands,The Hague,1322251,536.49,236800,220700,110700,5300,100,43.37300558
Netherlands,Tilburg,211648,119.15,35400,35700,20600,2500,0,44.50786211
Netherlands,Utrecht,478138,205.53,133200,83100,25500,200,0,50.61300294
Netherlands,Zwolle,123861,119.36,18800,10800,1400,0,0,25.02805564
Norway,Bergen,277391,465,0,0,0,0,0,0
Norway,Fredrikstad,129317,689,16800,12700,8200,2800,100,31.31838815
Norway,Oslo and adjecent agglomerations,973979,1003,208100,141000,105900,49000,4400,51.74649556
Norway,Stavanger,233560,444.36,26500,22300,14000,3200,600,28.2582634
Norway,Trondheim,187353,342,37900,24500,13600,5200,700,43.34064573
Poland,Bialystok,296600,102.1,82800,54900,32200,3100,0,58.32771409
Poland,Bielsko-Biala,173699,124.5,10000,11600,6700,4300,400,18.76809884
Poland,Bydgoszcz,329188,176,105000,64300,25200,6400,400,61.0289561
Poland,Bytom,172306,69.6,2000,1800,1400,600,100,3.366104489
Poland,Czestochowa,228179,159.7,35800,34300,26100,9000,100,46.10415507
Poland,Dabrowa Gornicza,121802,188.7,40000,20000,10000,0,0,57.47032068
Poland,Elblag,117127,79.5,28800,30900,16000,900,0,65.39909671
Poland,Gdansk,463764,262,75600,45500,18000,4400,400,30.94246211
Poland,Gdynia,235980,135.1,52200,38700,20400,5800,300,49.62284939
Poland,Gliwice,183392,133.9,30100,23400,12800,5800,500,39.31469203
Poland,Gorzow Wielkopolski,115150,85.7,24000,14900,4300,800,0,38.21102909
Poland,Katowice,296262,165,56400,35800,15300,4300,400,37.73686804
Poland,Kielce,197704,109.7,50000,50000,20000,0,0,60.69679926
Poland,Koszalin,102034,98.3,27400,23700,13200,3100,0,66.05641257
Poland,Krakow,766739,326.8,97900,103800,72800,31300,7200,39.88319363
Poland,Legnica,100718,56.3,24400,22200,11600,10000,2100,67.71381481
Poland,Lodz,701410,293.2,99300,66300,37400,24300,6900,32.40615332
Poland,Lublin,340200,147,48200,57400,40800,19400,3400,48.73603762
Poland,Olsztyn,176457,88,400,300,100,0,0,0.453368243
Poland,Opole,127792,148.8,38800,21100,15800,6400,500,64.24502316
Poland,Plock,119624,88.2,35200,35500,15300,4100,0,75.31933391
Poland,Poz0n,509436,263.2,79100,45500,21300,6300,1000,29.87617679
Poland,Radom,215653,111.8,29800,18500,7700,2100,100,26.94142906
Poland,Ruda Slaska,134400,77.7,34500,23000,18900,4300,200,60.04464286
Poland,Rybnik,132645,148.3,33100,22400,16000,6700,800,58.95435184
Poland,Rzeszow,188300,120.4,60000,44000,0,0,0,55.23101434
Poland,Sosnowiec,219300,91,91000,46000,19100,6300,600,74.05380757
Poland,Torun,185459,115.8,42900,25000,9400,1700,0,42.59701605
Poland,Tychy,129449,81.81,16400,11900,5500,800,100,26.72867307
Poland,Walbrzych,117900,85,4600,3700,6400,8900,100,20.01696353
Poland,Warsaw,1753977,517.2,326200,271700,136900,29700,1500,43.58666049
Poland,Wloclawek,108841,72.9,21500,12300,2800,200,0,33.81078821
Poland,Wroclaw,631377,292.8,146400,99600,50600,14000,1200,49.19406314
Poland,Zabrze,177000,80.4,68900,43600,22600,8900,800,81.3559322
Poland,Zielo0 Gora,139330,278.8,25900,23600,13600,5400,100,49.16385559
Portugal,Amadora,175136,23.8,25600,24100,19800,8900,1300,44.76521104
Portugal,Lisbon,547733,84.62,86900,79200,57300,18200,1900,44.10908234
Portugal,Matosinhos,175478,61.91,25600,10900,9400,8900,2400,31.22898597
Portugal,Odivelas,144549,26.62,18400,22800,16600,2600,0,41.7851386
Portugal,Oeiras,172120,45.85,27800,15700,9400,800,0,31.19916337
Portugal,Porto,237591,41.52,10600,8800,7900,6200,4000,14.09986068
Romania,Arad,179230,4106,16000,8700,3800,1600,0,16.79406349
Romania,Bacau,197003,3880,34900,36700,36600,19500,1700,64.8213479
Romania,Baia Mare,147425,3564,17000,16500,14600,1600,100,33.71205698
Romania,Botosani,121793,1950,14100,12300,6800,1900,100,28.81939028
Romania,Braila,208201,3674,6300,15600,15100,6400,1000,20.8452409
Romania,Brasov,290167,11056,24600,16400,9500,1200,100,17.81732588
Romania,Bucharest,2106144,24190,470000,307800,153400,50200,600,46.59700381
Romania,Buzau,134498,4720,31000,19600,14100,8600,5500,54.49895166
Romania,Cluj-0poca,321687,10472,73000,76200,41600,10200,400,62.48309692
Romania,Constanta,316777,6042,70000,44700,28600,7800,300,47.69917008
Romania,Craiova,304089,7063,54100,56200,70400,21800,3500,66.59234632
Romania,Galati,305093,6452,0,0,0,0,0,0
Romania,Iasi,362142,6924,63300,49600,33500,13700,500,44.20917762
Romania,Oradea,196367,8182,45900,28100,19300,5200,1200,50.16117779
Romania,Pitesti,175653,2812,31100,28800,33900,29900,4100,70.42293613
Romania,Ploiesti,231491,5412,47600,28900,23600,5800,800,45.74691889
Romania,Sibiu,169317,5007,22000,32200,30900,23400,8300,64.08098419
Romania,Targu Mures,149543,3266,0,0,0,0,0,0
Romania,Timisoara,331988,7600,51100,45200,44200,21500,5100,48.79694447
Romania,Satu Mare,121128,4186,4600,5100,3500,500,0,11.31034938
Slovakia,Bratislava,493734,444.42,112600,97100,57200,18700,9000,57.84491244
Slovakia,Kosicka,226192,113.3,0,0,0,0,0,0
Slovenia,Ljublja0,274500,275,55900,49200,34900,7500,200,53.73406193
Slovenia,Maribor,106400,147.47,17700,20300,13600,3500,0,51.78571429
Spain,A Coru0,245700,38.66,17100,47900,80100,66300,26200,86.03988604
Spain,Albacete,172487,30.29,0,0,0,0,0,0
Spain,Alcala de He0res,194310,88.12,32400,76100,36800,12200,400,81.05604447
Spain,Alcobendas,115896,44.98,31000,19200,3300,500,100,46.59349762
Spain,Alcorcon,170336,33.73,0,0,0,0,0,0
Spain,Algeciras,117974,85.8,0,0,0,0,0,0
Spain,Alicante,332067,40,0,0,0,0,0,0
Spain,Almeria,193351,22.11,0,0,0,0,0,0
Spain,Badajoz,137144,20.46,30500,47200,39500,2800,0,87.49927084
Spain,Baix Llobregat I,478970,50,0,0,0,0,0,0
Spain,Baix Llobregat II,194791,73,0,0,0,0,0,0
Spain,Barcelones I,1637772,105.2,0,0,0,0,0,0
Spain,Barcelones II,335948,28.2,0,0,0,0,0,0
Spain,Bilbao,345474,40.65,45200,75900,70600,18800,300,60.93077916
Spain,Burgos,174252,107.08,43900,39400,24300,2000,0,62.89741294
Spain,Cadiz,177776,11.1,0,0,0,0,0,0
Spain,Cartage0,151887,22.7,18400,14700,10100,1600,0,29.49561187
Spain,Castellon de la Pla0,173841,43.48,0,0,0,0,0,0
Spain,Cordoba,328041,30.94,0,0,0,0,0,0
Spain,Dos Herma0s,130369,160.52,0,0,0,0,0,0
Spain,Elche,228647,29.41,0,0,0,0,0,0
Spain,Fuenlabrada,204838,36.75,68400,32000,4200,100,0,51.11356291
Spain,Getafe,183764,78.69,57100,50600,21000,2300,100,71.28708561
Spain,Gijon,275735,182,0,0,0,0,0,0
Spain,Girones,127330,46,0,0,0,0,0,0
Spain,Gra0da,258750,88.02,86000,81800,33300,9700,1200,81.46859903
Spain,Huelva,147212,151.33,47500,51900,25500,100,0,84.91155612
Spain,Jaen,115837,424.3,0,0,0,0,0,0
Spain,Jerez de la Frontera,212876,43.68,49700,62100,34700,9300,1400,73.18814709
Spain,Las Palmas de Gran Ca0ria,382283,101,0,0,0,0,0,0
Spain,Leganes,186696,43.09,0,0,0,0,0,0
Spain,Leon,129884,39,18200,34200,29200,7400,100,68.52268178
Spain,Lleida,138144,211.7,44500,46500,14500,7900,0,82.08825573
Spain,Logrono,151962,20,0,0,0,0,0,0
Spain,Madrid,3165883,604,577000,445100,147100,27700,1200,37.80619814
Spain,Malaga,566913,98,0,0,0,0,0,0
Spain,Marbella,138679,116.82,0,0,0,0,0,0
Spain,Mataro,126159,22.53,16200,46500,41600,16700,3000,95.91071584
Spain,Mostoles,205712,45,0,0,0,0,0,0
Spain,Murcia,439712,886,0,0,0,0,0,0
Spain,Oviedo,221870,187,37600,37500,18500,6700,400,45.20665254
Spain,Palma de Mallorca,399093,213,0,0,0,0,0,0
Spain,Pamplo0,340197,134.12,64400,57500,23000,1400,0,43.00449445
Spain,Parla,125323,24.51,0,0,0,0,0,0
Spain,Reus,104560,52.8,20900,36900,18300,8100,0,80.52792655
Spain,Salamanca,148042,27.42,0,0,0,0,0,0
Spain,San Cristobal de La Lagu0,153009,102.4,0,0,0,0,0,0
Spain,San Sebastian - Donostia,180271,60.73,43500,37300,20000,2600,0,57.35808866
Spain,Santa Cruz de Tenerife,205279,150,0,0,0,0,0,0
Spain,Santander,176256,34.76,24500,23200,15600,5500,0,39.03413217
Spain,Sevilla,696676,140.09,0,0,0,0,0,0
Spain,Tarrago0,138006,65,0,0,0,0,0,0
Spain,Telde,102070,102.43,0,0,0,0,0,0
Spain,Torrejon de Ardoz,126878,32.62,0,0,0,0,0,0
Spain,Valencia,791632,134.65,228100,145400,110900,52100,2300,67.77138873
Spain,Valladolid,306830,197.91,0,0,0,0,0,0
Spain,Valles Occidental I,253547,47,0,0,0,0,0,0
Spain,Valles Occidental II,222912,90,0,0,0,0,0,0
Spain,Vigo,289784,104.87,48900,38600,44200,14900,300,50.58940452
Spain,Vitoria - Gazteiz,244634,276.8,58000,53700,26900,4100,0,58.33203888
Spain,Zaragoza,666058,967.07,0,0,0,0,0,0
Sweden,Boras,107022,909.9,19500,13100,5200,900,100,36.16078937
Sweden,Eskilstu0,100923,1099.87,8800,6000,1500,0,0,16.15092694
Sweden,Gothenburg,541145,449.5,99900,52900,24900,2500,500,33.29976254
Sweden,Helsingborg,135344,343.89,26800,14800,6000,800,0,35.76072822
Sweden,Huddinge,104185,131.01,17200,11700,5200,2100,100,34.74588472
Sweden,Jonkoping,132140,1480.36,17500,12400,3300,1400,700,26.18434993
Sweden,Linkoping,151881,1427.44,17800,9000,4900,300,0,21.06912649
Sweden,Lund,115968,427.23,16800,10000,4200,100,0,26.81774283
Sweden,Malmo,318107,156.6,89800,52400,29600,1200,0,54.38421663
Sweden,Norrkoping,135283,1495.05,15700,10000,5700,900,0,23.87587502
Sweden,Orebro,142618,1373.02,18600,7800,2800,400,0,20.75474344
Sweden,Stockholm,911989,187.17,169700,146200,79100,25600,1100,46.11897731
Sweden,Umea,119613,2316.61,20600,10700,3100,300,0,29.01022464
Sweden,Uppsala,207362,2182.8,50500,21800,8100,2100,0,39.7854959
Sweden,Vasteras,143702,957.89,31300,15300,4100,1600,600,36.39476138
Switzerland,Baden-Brugg,105606,91.48,28900,18800,10600,2900,100,57.95125277
Switzerland,Basel,527225,695.22,134100,81000,67400,16400,200,56.69306273
Switzerland,Bern,398873,780.97,96900,66500,39100,6500,800,52.39763032
Switzerland,Biel/Bienne,101271,169.33,22400,17100,11700,5200,200,55.69215274
Switzerland,Fribourg,100111,221.96,28800,17600,11100,1600,300,59.03447174
Switzerland,Geneva,552305,538.08,122300,133500,93600,61900,12400,74.46972235
Switzerland,Lausanne,389614,774.36,111700,81200,51900,15100,1100,66.70704851
Switzerland,Lucerne,220741,291.84,60900,41600,21300,11100,2500,61.11234433
Switzerland,Lugano,145576,306.82,41700,31000,20200,9500,1600,70.34126504
Switzerland,St. Gallen,162795,317.87,42900,27400,18400,3900,400,56.88135385
Switzerland,Winterthur,133691,148.49,30400,20500,13400,3500,300,50.7139598
Switzerland,Zug,121269,227.98,33500,21500,11000,2800,200,56.73337786
Switzerland,Zurich,1280944,1309.2,332800,220700,146600,30700,3300,57.05167439
United Kingdom,Aldershot Urban Area,254000,77.83,46600,19700,11500,5300,600,32.71653543
United Kingdom,Basildon/North Benfleet,111000,24.92,7500,4200,2400,600,0,13.24324324
United Kingdom,Bedford/Kempston,107000,23.54,4400,2500,4400,3200,100,13.55140187
United Kingdom,Birkenhead,324000,89.11,62500,18600,12200,5500,400,30.49382716
United Kingdom,Blackburn/Darwen,143000,32.07,20500,6300,5900,3900,200,25.59440559
United Kingdom,Blackpool,261000,65.86,8200,5300,9000,3000,0,9.770114943
United Kingdom,Bournemouth,432000,108.15,18500,11300,13100,10400,200,12.33796296
United Kingdom,Brighton/Worthing/Littlehampton,518000,94.09,28700,12200,21200,16000,300,15.07722008
United Kingdom,Bristol,639000,139.78,97400,31900,22700,21100,3400,27.08920188
United Kingdom,Burnley/Nelson,146000,30.27,24600,7200,5600,4600,100,28.76712329
United Kingdom,Cambridge Urban Area,152000,36.08,12400,5300,8600,3800,100,19.80263158
United Kingdom,Cheltenham/Charlton Kings,116000,27.12,6500,3100,5700,2800,0,15.60344828
United Kingdom,Chesterfield/Staveley,104000,28.31,4400,2200,2500,1600,100,10.28846154
United Kingdom,Colchester,121000,29.65,6600,4300,4000,2500,0,14.38016529
United Kingdom,Coventry/Bedworth,378000,75.56,57600,16600,9000,3400,200,22.91005291
United Kingdom,Crawley Urban Area,198000,54.02,40700,14300,8400,4200,300,34.14141414
United Kingdom,Dearne Valley Urban Area,215000,52.92,26000,7500,6200,4400,200,20.51162791
United Kingdom,Derby Urban Area,262000,57.01,14200,6600,7900,6100,100,13.28244275
United Kingdom,Doncaster Urban Area,134000,34.97,28400,7100,3900,2800,700,31.49253731
United Kingdom,Eastbourne,119000,23.56,5300,2400,5100,2900,0,13.19327731
United Kingdom,Exeter,119000,25.16,8400,3700,1800,1900,100,13.27731092
United Kingdom,Gloucester Urban Area,148000,35.38,23800,5800,4200,1300,100,23.71621622
United Kingdom,Grimsby/Cleethorpes,137000,34.17,4200,2700,4800,2300,100,10.2189781
United Kingdom,Hastings/Bexhill,135000,31.94,4700,4100,6400,5900,0,15.62962963
United Kingdom,High Wycombe Urban Area,129000,32.8,23900,9300,7300,4800,200,35.11627907
United Kingdom,Ipswich Urban Area,160000,40.56,13400,4400,5500,5100,200,17.75
United Kingdom,Kingston upon Hull,310000,80.45,7300,4200,4800,3100,100,6.258064516
United Kingdom,Leicester,501000,101.64,64800,19900,15800,8100,1400,21.67664671
United Kingdom,Lincoln Urban Area,111000,30.38,3600,1700,2400,2200,0,8.918918919
United Kingdom,Liverpool,837000,186.17,118500,37000,32100,26300,2400,25.55555556
United Kingdom,London,9878000,1623.37,1057200,446100,481500,565000,97800,25.81291759
United Kingdom,Luton/Dunstable,271000,48.95,36700,10300,5900,4100,200,21.03321033
United Kingdom,Manchester,2474000,556.71,478400,176900,115400,92000,11100,34.87065481
United Kingdom,Mansfield Urban Area,169000,45.2,9200,3500,3800,2100,0,11.00591716
United Kingdom,Milton Keynes Urban Area,206000,57.3,17600,5400,2000,200,0,12.23300971
United Kingdom,Northampton Urban Area,217000,52.58,30100,10100,8700,6100,100,25.34562212
United Kingdom,Norwich Urban Area,209000,56.27,9600,5800,8900,4200,200,13.63636364
United Kingdom,Nottingham,730000,158.52,92500,29400,22200,18900,3200,22.32876712
United Kingdom,Nuneaton Urban Area,134000,32.52,4100,1800,1800,500,0,6.119402985
United Kingdom,Oxford,166000,31.63,12500,5100,8400,5700,200,19.09638554
United Kingdom,Peterborough,153000,40.47,12500,6600,3800,1100,0,15.68627451
United Kingdom,Plymouth,266000,60.88,12700,6000,3700,3200,600,9.62406015
United Kingdom,Portsmouth,479000,94.52,87000,27600,19200,13400,1200,30.73068894
United Kingdom,Preston,275000,60.62,70300,20200,9100,5400,400,38.18181818
United Kingdom,Reading/Wokingham,393000,93.17,73300,26200,17100,9700,300,32.13740458
United Kingdom,Sheffield,694000,162.24,78200,28000,21500,18800,1300,21.10951009
United Kingdom,Slough Urban Area,165000,30.57,56200,15500,7400,4000,500,50.36363636
United Kingdom,Southampton,342000,72.8,85500,25800,16800,11900,600,40.93567251
United Kingdom,Southend,294000,66.85,10800,5500,9000,6600,300,10.85034014
United Kingdom,Southport/Formby,115000,30.89,3100,4400,5000,1100,0,11.82608696
United Kingdom,St Albans/Hatfield,140000,32.36,30900,7600,4900,2800,200,33
United Kingdom,Sunderland Urban Area,179000,39.83,9600,4900,4000,3000,100,12.01117318
United Kingdom,Swindon,172000,40.55,16100,4900,3100,2300,0,15.34883721
United Kingdom,Teesside,369000,114.32,22400,10500,6900,1700,0,11.24661247
United Kingdom,Telford Urban Area,140000,41.8,14500,4800,1800,300,100,15.28571429
United Kingdom,Thanet,130000,26.68,4000,2500,3400,3000,0,9.923076923
United Kingdom,The Medway Towns Urban Area,250000,50.97,23100,9800,7600,5600,400,18.44
United Kingdom,The Potteries,370000,96.62,30700,14200,14600,8800,400,18.45945946
United Kingdom,Torbay,113000,27.47,5000,2400,2500,3800,500,12.12389381
United Kingdom,Tyneside,909000,210.91,92000,34400,28200,18300,2900,19.02090209
United Kingdom,Warrington Urban Area,166000,43.55,51100,16100,6400,2800,100,46.02409639
United Kingdom,West Midlands,2508000,599.72,415000,165200,105100,65600,5100,29.94019139
United Kingdom,West Yorkshire,1636000,370.02,220300,87200,59600,43800,7500,25.11613692
United Kingdom,Wigan Urban Area,173000,39.02,34900,10300,7000,6100,500,33.69942197
United Kingdom,York,160000,31.48,6200,3000,4000,3900,0,10.6875
United Kingdom,Aberdeen,209500,65,26900,29600,25200,8700,1000,43.150358
United Kingdom,Dundee,157700,50,20700,21000,8200,1200,0,32.4032974
United Kingdom,Edinburgh,488600,123,58100,74500,75300,24800,300,47.62586983
United Kingdom,Glasgow,1101500,311.94,282100,202800,72700,10200,3100,51.54788924
United Kingdom,Cardiff,359000,77.4,47600,37700,36400,16300,1500,38.44011142
United Kingdom,Newport,148000,51.2,40000,21000,13600,3900,1100,53.04054054
United Kingdom,Swansea/Neath/Port Talbot,285000,98.2,52900,40300,30300,9900,1100,46.80701754
