"","Country","Depression %","Anxiety %","Eating Disorder %","Bipolar Disorder %","Schizophrenia %","Total Population","Measured Population","Area","55-59","60-64","65-69","70-74","75+","55-59 %","60-64 %","65-69 %","70-74 %","75+ %","Exposed to any noise %","Exposed to any noise % of total population","% measured popultaion","Avreage Years in School","Gini Index","Temperature"
"1","Estonia",3.97,3.64,0.19,0.57,0.31,1317384,532958,198,83500,114000,80300,19800,900,15.6672758453762,21.3900532499747,15.0668532980085,3.71511451183771,0.168868841447168,56.0081657466442,22.6585414731012,40.4557820650623,13.56,30.4,-4
"2","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341,12.74,27.4,-7
"3","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341,12.74,27.4,-6.63
"4","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341,12.74,27.4,-0.35
"5","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341,12.74,27.4,-5
"6","Finland",4.44,4.39,0.52,0.98,0.29,5508214,2130948,11418,274800,143700,50300,13500,200,12.8956689698669,6.74347755083653,2.36045178014668,0.633520855506563,0.00938549415565279,22.6425046505124,8.75964514087506,38.6867322148341,12.74,27.4,-6
"7","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,4.25
"8","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,3.34
"9","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,4.19
"10","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,5.48
"11","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,4.35
"12","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,4.34
"13","Germany",3.8,6.81,0.46,0.82,0.29,82657002,24417288,12289,2372900,1642300,1183500,466900,51500,9.71811447692307,6.72597218822991,4.84697563464051,1.91216977086071,0.210916134502734,23.4141482051569,6.91665540930217,29.5404955529357,14.11,31.2,5.15
"14","Germany",3.8,6.81,0.46,0.82,0.29,82657002,24417288,12289,2372900,1642300,1183500,466900,51500,9.71811447692307,6.72597218822991,4.84697563464051,1.91216977086071,0.210916134502734,23.4141482051569,6.91665540930217,29.5404955529357,14.11,31.2,-2
"15","Iceland",3.19,5.6,0.49,1,0.31,343400,267850,1196,33300,16100,5300,1400,100,12.4323315288408,6.01082695538548,1.9787194325182,0.522680604816128,0.0373343289154377,20.981892850476,16.3657542224811,77.9994175888177,13.46,26.1,6
"16","Iceland",3.19,5.6,0.49,1,0.31,343400,267850,1196,33300,16100,5300,1400,100,12.4323315288408,6.01082695538548,1.9787194325182,0.522680604816128,0.0373343289154377,20.981892850476,16.3657542224811,77.9994175888177,13.46,26.1,-2.01
"17","Iceland",3.19,5.6,0.49,1,0.31,343400,267850,1196,33300,16100,5300,1400,100,12.4323315288408,6.01082695538548,1.9787194325182,0.522680604816128,0.0373343289154377,20.981892850476,16.3657542224811,77.9994175888177,13.46,26.1,5
"18","Ireland",4.68,7.9,0.49,0.77,0.4,4807388,1499800,1122,320700,147200,158600,55400,4500,21.3828510468062,9.8146419522603,10.5747432991065,3.69382584344579,0.300040005334045,45.7661021469529,14.2780237417908,31.1978146968791,11.43,31.4,6.6
"19","Ireland",4.68,7.9,0.49,0.77,0.4,4807388,1499800,1122,320700,147200,158600,55400,4500,21.3828510468062,9.8146419522603,10.5747432991065,3.69382584344579,0.300040005334045,45.7661021469529,14.2780237417908,31.1978146968791,11.43,31.4,9
"20","Ireland",4.68,7.9,0.49,0.77,0.4,4807388,1499800,1122,320700,147200,158600,55400,4500,21.3828510468062,9.8146419522603,10.5747432991065,3.69382584344579,0.300040005334045,45.7661021469529,14.2780237417908,31.1978146968791,11.43,31.4,10
"21","Ireland",4.68,7.9,0.49,0.77,0.4,4807388,1499800,1122,320700,147200,158600,55400,4500,21.3828510468062,9.8146419522603,10.5747432991065,3.69382584344579,0.300040005334045,45.7661021469529,14.2780237417908,31.1978146968791,11.43,31.4,10
"22","Italy",3.78,5.98,0.59,0.96,0.31,60536709,13694275,8809.99,2461500,2901300,2139800,900700,126100,17.9746645952414,21.1862256307837,15.6255077395481,6.57720105664593,0.920822752573612,62.2844217747928,14.0896327879337,22.6214394971487,10.48,35.9,3
"23","Italy",3.78,5.98,0.59,0.96,0.31,60536709,13694275,8809.99,2461500,2901300,2139800,900700,126100,17.9746645952414,21.1862256307837,15.6255077395481,6.57720105664593,0.920822752573612,62.2844217747928,14.0896327879337,22.6214394971487,10.48,35.9,7
"24","Italy",3.78,5.98,0.59,0.96,0.31,60536709,13694275,8809.99,2461500,2901300,2139800,900700,126100,17.9746645952414,21.1862256307837,15.6255077395481,6.57720105664593,0.920822752573612,62.2844217747928,14.0896327879337,22.6214394971487,10.48,35.9,8.44
"25","Netherlands",3.88,7.42,0.42,0.87,0.4,17131296,8259054,5005.72,1500900,1175000,570200,49796,581,18.1727834689058,14.2268109640644,6.90393839294428,0.602926194694937,0.00703470397457142,39.913493724584,19.2424262589357,48.2103280452337,12.25,28.5,2.64
"26","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,-3.36
"27","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,0
"28","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,-0.32
"29","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,0.45
"30","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,-1.64
"31","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,-1.7
"32","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,5
"33","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,4
"34","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,0.45
"35","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,1.12
"36","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,5.98
"37","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,6.1
"38","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,-0.58
"39","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,0.5
"40","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,7
"41","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,3
"42","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153,12.95,27,7.32
"43","Poland",2.3,3.34,0.2,0.6,0.32,37974826,10009194,5375.21,1944600,1447200,746200,239300,29200,19.4281377701341,14.4587066650921,7.45514573900756,2.39080189673614,0.291731781799813,44.0245238527698,11.6037398038374,26.3574453244368,13.05,29.7,-5
"44","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633,9.218,33.8,12.61
"45","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633,9.218,33.8,16
"46","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633,9.218,33.8,14
"47","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633,9.218,33.8,14.72
"48","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633,9.218,33.8,14
"49","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633,9.218,33.8,14
"50","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633,9.218,33.8,13
"51","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633,9.218,33.8,13
"52","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633,9.218,33.8,14
"53","Romania",2.83,3.5,0.17,0.68,0.31,19588715,5915100,120840,1076600,828600,583400,230800,33300,18.2008757248398,14.0082162600801,9.86289327314838,3.90187824381667,0.562965968453619,46.5368294703386,14.0524786847938,30.1964677111286,11.15,36,-7.88
"54","Romania",2.83,3.5,0.17,0.68,0.31,19588715,5915100,120840,1076600,828600,583400,230800,33300,18.2008757248398,14.0082162600801,9.86289327314838,3.90187824381667,0.562965968453619,46.5368294703386,14.0524786847938,30.1964677111286,11.15,36,-5.11
"55","Spain",5.11,5.89,0.65,1.02,0.29,46593236,8281377,2624.08,1709000,1601200,893200,280800,37000,20.6366646513013,19.3349487651631,10.785645913717,3.39074045294641,0.446785600993651,54.5947853841215,9.70355439574963,17.7737751462465,10.08,34.7,-3.53
"56","Spain",5.11,5.89,0.65,1.02,0.29,46593236,8281377,2624.08,1709000,1601200,893200,280800,37000,20.6366646513013,19.3349487651631,10.785645913717,3.39074045294641,0.446785600993651,54.5947853841215,9.70355439574963,17.7737751462465,10.08,34.7,18
"57","Spain",5.11,5.89,0.65,1.02,0.29,46593236,8281377,2624.08,1709000,1601200,893200,280800,37000,20.6366646513013,19.3349487651631,10.785645913717,3.39074045294641,0.446785600993651,54.5947853841215,9.70355439574963,17.7737751462465,10.08,34.7,8.08
"58","Spain",5.11,5.89,0.65,1.02,0.29,46593236,8281377,2624.08,1709000,1601200,893200,280800,37000,20.6366646513013,19.3349487651631,10.785645913717,3.39074045294641,0.446785600993651,54.5947853841215,9.70355439574963,17.7737751462465,10.08,34.7,6
"59","Spain",5.11,5.89,0.65,1.02,0.29,46593236,8281377,2624.08,1709000,1601200,893200,280800,37000,20.6366646513013,19.3349487651631,10.785645913717,3.39074045294641,0.446785600993651,54.5947853841215,9.70355439574963,17.7737751462465,10.08,34.7,6.86
"60","Spain",5.11,5.89,0.65,1.02,0.29,46593236,8281377,2624.08,1709000,1601200,893200,280800,37000,20.6366646513013,19.3349487651631,10.785645913717,3.39074045294641,0.446785600993651,54.5947853841215,9.70355439574963,17.7737751462465,10.08,34.7,-0.01
"61","Sweden",4.49,5.24,0.55,1.06,0.3,10057698,3367282,14938.34,620500,394100,187700,40200,3100,18.4273250651416,11.7038014636137,5.57422871027731,1.19384120486493,0.0920623814696839,36.9912588253672,12.3845436599906,33.4796491205045,12.49,28.8,0.12
"62","Sweden",4.49,5.24,0.55,1.06,0.3,10057698,3367282,14938.34,620500,394100,187700,40200,3100,18.4273250651416,11.7038014636137,5.57422871027731,1.19384120486493,0.0920623814696839,36.9912588253672,12.3845436599906,33.4796491205045,12.49,28.8,0
"63","Sweden",4.49,5.24,0.55,1.06,0.3,10057698,3367282,14938.34,620500,394100,187700,40200,3100,18.4273250651416,11.7038014636137,5.57422871027731,1.19384120486493,0.0920623814696839,36.9912588253672,12.3845436599906,33.4796491205045,12.49,28.8,5
